FILE NUMBER,OFFENSE DATE,OFFENSE TIME,CRIME,COMMITTED,OFFENSE,OFFENSE DESCRIPTION,FULL ADDRESS,ADDRESS NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,CITY,STATE,ZIP CODE,DISTRICT,ZONE,SUBZONE,COMPLETE DISTRICT,COUNCIL DISTRICT,CRIME PREVENTION DISTRICT,GEOLOCATION
1900110422,11/01/2019,0110,OTHER,COMMITTED,14:24,PRINCIPAL(Code Modifier),4733 FAIRFIELDS AV,4733,,FAIRFIELDS,AV,BATON ROUGE,LA,70802,1,C,2,1C2,7,NONE,"4733 FAIRFIELDS AV
BATON ROUGE, LA
(30.467667, -91.142473)"
,11/01/2019,1455,SEXUAL ASSAULT,COMMITTED,14:43.1,BATT/SEXUAL,,,,,,,,70815,3,E,3,3E3,4,NONE,
1900110422,11/01/2019,0110,FIREARM,COMMITTED,14:95.1,FELON IN POSS F/ARM,4733 FAIRFIELDS AV,4733,,FAIRFIELDS,AV,BATON ROUGE,LA,70802,1,C,2,1C2,7,NONE,"4733 FAIRFIELDS AV
BATON ROUGE, LA
(30.467667, -91.142473)"
1900110722,11/01/2019,2117,BATTERY,COMMITTED,13:35.3,DOMESTIC ABUSE BATTERY/CC,13156 JENNIFER LYNNE AV,13156,,JENNIFER LYNNE,AV,BATON ROUGE,LA,70815,3,E,4,3E4,4,NONE,"13156 JENNIFER LYNNE AV
BATON ROUGE, LA 70815
(30.44695, -91.03555)"
1900110521,11/01/2019,0930,NUISANCE,COMMITTED,13:63.3,ENT/REM AFTER FORB/CC,1334 FLORIDA ST,1334,,FLORIDA,ST,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"1334 FLORIDA ST
BATON ROUGE, LA 70808
(30.449669, -91.175976)"
1900110743,11/01/2019,1900,OTHER,COMMITTED,14:102.1,CRUELTY TO ANIMALS,13554 ASHBY AV,13554,,ASHBY,AV,BATON ROUGE,LA,70815,3,E,3,3E3,4,NONE,"13554 ASHBY AV
BATON ROUGE, LA
(30.454404, -91.032862)"
1900113094,11/01/2019,0925,OTHER,COMMITTED,13:285,IMPROPER TELEPHONE COMMUNICATIONS,935 MONET DR,935,,MONET,DR,BATON ROUGE,LA,70806,1,D,1,1D1,6,MELROSE EAST,"935 MONET DR
BATON ROUGE, LA 70805
(30.458376, -91.11738)"
1900110854,11/01/2019,2100,VEHICLE BURGLARY,COMMITTED,14:62/AD,BURG/AUTO OVER $200,2243 DONRAY DR,2243,,DONRAY,DR,BATON ROUGE,LA,70809,3,G,3,3G3,11,NONE,"2243 DONRAY DR
BATON ROUGE, LA 70809
(30.429677, -91.099551)"
1900110850,11/01/2019,2100,VEHICLE BURGLARY,COMMITTED,14:62/CD,BURG/AUTO UNDER $50,1398 OAKLEY DR,1398,,OAKLEY,DR,BATON ROUGE,LA,70806,3,G,3,3G3,11,TARA,"1398 OAKLEY DR
BATON ROUGE, LA 70806
(30.436734, -91.092346)"
1900110825,11/01/2019,2000,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62/NRNNF,BURG/S NON RES NIGHT NO FORCE,768 SHERWOOD FOREST BL,768,,SHERWOOD FOREST,BL,BATON ROUGE,LA,70815,3,E,1,3E1,4,SHERWOOD FOREST,"768 SHERWOOD FOREST BL
BATON ROUGE, LA 70815
(30.451016, -91.058186)"
1900110478,11/01/2019,0720,OTHER,COMMITTED,C.CR.P. ART 21,CONTEMPT OF COURT,4728 CONSTITUTION AV,4728,,CONSTITUTION,AV,BATON ROUGE,LA,70808,2,B,2,2B2,12,NONE,"4728 CONSTITUTION AV
BATON ROUGE, LA 70808
(30.422235, -91.135469)"
1900110513,11/01/2019,0935,OTHER,COMMITTED,C.CR.P. ART 21,CONTEMPT OF COURT,11600 CATALPA DR,11600,,CATALPA,DR,BATON ROUGE,LA,70815,3,D,2,3D2,6,NONE,"11600 CATALPA DR
BATON ROUGE, LA 70815
(30.465614, -91.054242)"
1900110552,11/01/2019,0000,NON-RESIDENTIAL BURGLARY,COMMITTED,14:62,BURGLARY/SIMPLE,658 N 29TH ST,658,N,29TH,ST,BATON ROUGE,LA,70802,1,B,1,1B1,7,NONE,"658 N 29TH ST
BATON ROUGE, LA
(30.454366, -91.159513)"
1900110687,11/01/2019,2000,THEFT,COMMITTED,13:67,THEFT/MISD/CC,3676 GOVERNMENT ST,3676,,GOVERNMENT,ST,BATON ROUGE,LA,70806,2,A,2,2A2,11,NONE,"3676 GOVERNMENT ST
BATON ROUGE, LA 70809
(30.444231, -91.151958)"
1900110478,11/01/2019,0722,NUISANCE,COMMITTED,13:63.3,ENT/REM AFTER FORB/CC,4728 CONSTITUTION AV,4728,,CONSTITUTION,AV,BATON ROUGE,LA,70808,2,B,2,2B2,12,NONE,"4728 CONSTITUTION AV
BATON ROUGE, LA 70808
(30.422235, -91.135469)"
1900110640,11/01/2019,1500,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,13:56,CRIM DAM TO PROP/SIMPLE/CC,2107 E MASON ST,2107,E,MASON,ST,BATON ROUGE,LA,70805,4,E,1,4E1,5,NONE,"2107 E MASON ST
BATON ROUGE, LA 70807
(30.507047, -91.169924)"
1900110848,11/01/2019,2100,THEFT,COMMITTED,14:70.4,ACCESS DEVICE FRAUD,4345 SHERWOOD ST,4345,,SHERWOOD,ST,BATON ROUGE,LA,70805,4,G,2,4G2,7,NONE,"4345 SHERWOOD ST
BATON ROUGE, LA 70805
(30.490193, -91.146201)"
1900110544,11/01/2019,1139,NARCOTICS,COMMITTED,13:1019,POSSESSION DRUG PARAPHERNELIA,100 N 13TH ST,100,N,13TH,ST,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"100 N 13TH ST
BATON ROUGE, LA
(30.447539, -91.176222)"
1900110544,11/01/2019,1139,NARCOTICS,COMMITTED,13:966,POSS MARIJUANA/CC,100 N 13TH ST,100,N,13TH,ST,BATON ROUGE,LA,70802,1,A,1,1A1,10,NONE,"100 N 13TH ST
BATON ROUGE, LA 70802
(30.447539, -91.176222)"
1900110691,11/01/2019,2059,OTHER,COMMITTED,13:91.10,"VIOL WINE, BEER, LIQUOR ORDINANCE",11944 COURSEY BL,11944,,COURSEY,BL,BATON ROUGE,LA,70816,3,F,3,3F3,8,NONE,"11944 COURSEY BL
BATON ROUGE, LA 70816
(30.411178, -91.047476)"
1900111451,11/01/2019,0742,THEFT,COMMITTED,14:67/AD,THEFT OVER $200 FROM AUTO,13031 S CHOCTAW DR,13031,S,CHOCTAW,DR,BATON ROUGE,LA,70815,3,D,2,3D2,6,NONE,"13031 S CHOCTAW DR
BATON ROUGE, LA 70815
(30.47262, -91.040059)"
1900110735,11/01/2019,2239,BATTERY,COMMITTED,13:35,BATT/SIMPLE/CC,13633 BRIARCLIFF DR,13633,,BRIARCLIFF,DR,BATON ROUGE,LA,70815,3,E,3,3E3,4,NONE,"13633 BRIARCLIFF DR
BATON ROUGE, LA 70815
(30.452402, -91.03221)"
1900110637,11/01/2019,1709,BATTERY,COMMITTED,14:34.8,"BATTERY OF EMERGENCY ROOM PERSONNEL, EMERGENCY SER",101 S I110,101,S,I110,,BATON ROUGE,LA,70802,1,A,2,1A2,10,NONE,"101 S I110
BATON ROUGE, LA"
